ID;TÍTULO;CATEGORIA;STATUS;FONTES;IMAGEM;OBSERVAÇÃO
REC-0001;Doce de Leite sem Leite e sem Açúcar;Doces;publicada_em_revisao;;definida;Algumas quantidades do arquivo digital original não foram extraídas com segurança e permanecem marcadas para conferência.
REC-0002;Doce de Leite sem Leite de Vaca;Doces;publicada;;definida;
REC-0003;Doce de Leite Ninho Zero Lactose e Zero Açúcar;Doces;publicada;;definida;
REC-0004;Recheio de Leite Ninho;Recheios;publicada;images/manuscritos/1.jpg;definida;
REC-0005;Marrom Glacê de Batata Doce;Recheios e Coberturas;catalogada_em_transcricao;images/manuscritos/3.jpg;buscar_imagem_contextual_na_internet;
REC-0006;Bolo de Milho Verde;Bolos e Tortas;catalogada_em_transcricao;images/manuscritos/4.jpg;buscar_imagem_contextual_na_internet;"Mesma receita aparece também em IMG_7158.jpeg; consolidada em um único ID."
REC-0007;Bolacha de Coco;Biscoitos e Bolachas;catalogada_em_transcricao;images/manuscritos/5.jpg;buscar_imagem_contextual_na_internet;
REC-0008;Pão do Val (Cascavel);Pães, Massas e Salgados;titulo_em_revisao;images/manuscritos/6.jpg;buscar_imagem_contextual_na_internet;Título manuscrito sujeito a conferência.
REC-0009;Panetone com Pamix;Pães, Massas e Salgados;catalogada_em_transcricao;images/manuscritos/7.jpg;buscar_imagem_contextual_na_internet;
REC-0010;Bolo de Rolo (Cascavel);Bolos e Tortas;catalogada_em_transcricao;images/manuscritos/8.jpg;buscar_imagem_contextual_na_internet;
REC-0011;Cajuzinho de Banana;Doces e Sobremesas;catalogada_em_transcricao;images/manuscritos/9.jpg;buscar_imagem_contextual_na_internet;
REC-0012;Queijadinha;Doces e Sobremesas;catalogada_em_transcricao;images/manuscritos/10.jpg;buscar_imagem_contextual_na_internet;
REC-0013;Pudim de Laranja;Pudins;catalogada_em_transcricao;images/manuscritos/11.jpg;buscar_imagem_contextual_na_internet;
REC-0014;Bolacha de Sal Amoníaco — Variante 1;Biscoitos e Bolachas;catalogada_em_transcricao;images/manuscritos/12.jpg;buscar_imagem_contextual_na_internet;Primeira receita da página.
REC-0015;Caramelo para Pudim;Pudins;catalogada_em_transcricao;images/manuscritos/12.jpg;buscar_imagem_contextual_na_internet;Segunda receita da página.
REC-0016;Creme de Laranja;Doces e Sobremesas;catalogada_em_transcricao;images/manuscritos/13.jpg;buscar_imagem_contextual_na_internet;
REC-0017;Bolacha de Sal Amoníaco — Variante 2;Biscoitos e Bolachas;catalogada_em_transcricao;images/manuscritos/14.jpg;buscar_imagem_contextual_na_internet;
REC-0018;Panetone — Receita Manuscrita;Pães, Massas e Salgados;titulo_em_revisao;images/manuscritos/15.jpg;buscar_imagem_contextual_na_internet;"Título normalizado; conferir denominação original."
REC-0019;Pão Caseiro — Variante 1;Pães, Massas e Salgados;catalogada_em_transcricao;images/manuscritos/16.jpg;buscar_imagem_contextual_na_internet;
REC-0020;Bolo de Maçã;Bolos e Tortas;catalogada_em_transcricao;images/manuscritos/17.jpg;buscar_imagem_contextual_na_internet;A parte superior da foto repete ingredientes do 4 Leites Trufados e não recebe novo ID.
REC-0021;4 Leites Trufados;Doces e Sobremesas;catalogada_em_transcricao;images/manuscritos/19.jpg;buscar_imagem_contextual_na_internet;"Ingredientes parciais também aparecem no topo de 17.jpg; consolidados aqui."
REC-0022;Bolacha 5 Pontos;Biscoitos e Bolachas;catalogada_em_transcricao;images/manuscritos/21.jpg;buscar_imagem_contextual_na_internet;Primeira receita da página.
REC-0023;Bolacha de Sal Amoníaco — Variante 3;Biscoitos e Bolachas;catalogada_em_transcricao;images/manuscritos/21.jpg;buscar_imagem_contextual_na_internet;Segunda receita da página.
REC-0024;Bolo de Cenoura — Variante 1;Bolos e Tortas;catalogada_em_transcricao;images/manuscritos/22.jpg;buscar_imagem_contextual_na_internet;
REC-0025;Rosquinha;Pães, Massas e Salgados;catalogada_em_transcricao;images/manuscritos/23.jpg;buscar_imagem_contextual_na_internet;
REC-0026;Bombocado de Assadeira;Bolos e Tortas;catalogada_em_transcricao;images/manuscritos/24.jpg;buscar_imagem_contextual_na_internet;
REC-0027;Rosca Caseira;Pães, Massas e Salgados;titulo_em_revisao;images/manuscritos/30.jpeg;buscar_imagem_contextual_na_internet;Nome complementar manuscrito sujeito a conferência.
REC-0028;Pastel;Pães, Massas e Salgados;catalogada_em_transcricao;images/manuscritos/31.jpeg;buscar_imagem_contextual_na_internet;
REC-0029;Bolacha de Nata — Variante 1;Biscoitos e Bolachas;catalogada_em_transcricao;images/manuscritos/IMG_7085.jpeg;buscar_imagem_contextual_na_internet;
REC-0030;Bolinho de Queijo;Doces e Sobremesas;catalogada_em_transcricao;images/manuscritos/IMG_7086.jpeg;buscar_imagem_contextual_na_internet;
REC-0031;Bolacha de 02/02/2025;Biscoitos e Bolachas;titulo_em_revisao;images/manuscritos/IMG_7087.jpeg;buscar_imagem_contextual_na_internet;Título/pessoa anotada na folha sujeito a conferência.
REC-0032;Pudim — Receita Impressa;Pudins;catalogada_em_transcricao;images/manuscritos/IMG_7088.jpeg;buscar_imagem_contextual_na_internet;
REC-0033;Bolo Tradicional de Aniversário;Bolos e Tortas;catalogada_em_transcricao;images/manuscritos/IMG_7141.jpeg;buscar_imagem_contextual_na_internet;IMG_7089.jpeg é uma versão duplicada/incompleta e foi arquivada como duplicata.
REC-0034;Creme de Ameixa;Doces e Sobremesas;catalogada_em_transcricao;images/manuscritos/IMG_7090.jpeg;buscar_imagem_contextual_na_internet;
REC-0035;Quibe — Variante 1;Doces e Sobremesas;catalogada_em_transcricao;images/manuscritos/IMG_7091.jpeg;buscar_imagem_contextual_na_internet;
REC-0036;Bolo de Pique-Nique;Bolos e Tortas;catalogada_em_transcricao;images/manuscritos/IMG_7093.jpeg;buscar_imagem_contextual_na_internet;
REC-0037;Doce de Abóbora;Doces e Sobremesas;catalogada_em_transcricao;images/manuscritos/IMG_7094.jpeg;buscar_imagem_contextual_na_internet;
REC-0038;Bolacha de Nata — Variante 2;Biscoitos e Bolachas;catalogada_em_transcricao;images/manuscritos/IMG_7095.jpeg;buscar_imagem_contextual_na_internet;
REC-0039;Mousse de Leite Ninho com Gelatina;Doces e Sobremesas;catalogada_em_transcricao;images/manuscritos/IMG_7096.jpeg;buscar_imagem_contextual_na_internet;
REC-0040;Danone;Doces e Sobremesas;catalogada_em_transcricao;images/manuscritos/IMG_7097.jpeg;buscar_imagem_contextual_na_internet;
REC-0041;Bolo de Chocolate — Variante 1;Bolos e Tortas;catalogada_em_transcricao;images/manuscritos/IMG_7098.jpeg;buscar_imagem_contextual_na_internet;Inclui calda e recheio de creme branco.
REC-0042;Pão Caseiro — Variante 2;Pães, Massas e Salgados;catalogada_em_transcricao;images/manuscritos/IMG_7099.jpeg;buscar_imagem_contextual_na_internet;
REC-0043;Brigadeiro de Paçoca;Doces e Sobremesas;catalogada_em_transcricao;images/manuscritos/IMG_7100.jpeg;buscar_imagem_contextual_na_internet;
REC-0044;Pizza Enrolada — Variante 1;Pães, Massas e Salgados;catalogada_em_transcricao;images/manuscritos/IMG_7101.jpeg;buscar_imagem_contextual_na_internet;
REC-0045;Molho Vinagrete;Molhos e Cremes;catalogada_em_transcricao;images/manuscritos/IMG_7102.jpeg;buscar_imagem_contextual_na_internet;
REC-0046;Bolacha Palito;Biscoitos e Bolachas;catalogada_em_transcricao;images/manuscritos/IMG_7103.jpeg;buscar_imagem_contextual_na_internet;
REC-0047;Pudim Gostoso;Pudins;catalogada_em_transcricao;images/manuscritos/IMG_7104.jpeg;buscar_imagem_contextual_na_internet;
